sample	batch		value
32150829_EXO_S9	181003-190524	readsPerc	67.28856169188767
32150792_EXO_S8	181003-190524	readsPerc	76.1977733804952
32151754_EXO_S20	181003-190524	readsPerc	65.68970959293787
32150309_EXO_S4	181003-190524	readsPerc	69.70362340751001
32160185_EXO_S34	181003-190524	readsPerc	69.29408158325695
32151018_EXO_S12	181003-190524	readsPerc	59.412060110670254
32151480_EXO_S17	181003-190524	readsPerc	71.57737538533874
32150697_EXO_S7	181003-190524	readsPerc	69.22406057192073
32152351_EXO_S28	181003-190524	readsPerc	72.66893458841093
32150318_EXO_S6	181003-190524	readsPerc	70.15346085230722
32152200_EXO_S25	181003-190524	readsPerc	67.00305444137746
32150274_EXO_S3	181003-190524	readsPerc	70.85352921736582
32151489_EXO_S18	181003-190524	readsPerc	63.10767742061285
32150882_EXO_S11	181003-190524	readsPerc	61.06005410696715
32151625_EXO_S19	181003-190524	readsPerc	71.80418908879504
32150835_EXO_S10	181003-190524	readsPerc	71.14145149611524
32152348_EXO_S27	181003-190524	readsPerc	64.81778696275202
32160965_EXO_S9	181004-190521	readsPerc	69.71066639283693
32160622_EXO_S5	181004-190521	readsPerc	60.315139822789895
32161245_EXO_S17	181004-190521	readsPerc	67.68474096814768
32170434_EXO_S28	181004-190521	readsPerc	57.171389218282336
32160340_EXO_S2	181004-190521	readsPerc	72.2794147579603
32161045_EXO_S12	181004-190521	readsPerc	60.46887128859105
32170383_EXO_S25	181004-190521	readsPerc	58.2763334744744
32170272_EXO_S24	181004-190521	readsPerc	62.243150963283455
32160628_EXO_S6	181004-190521	readsPerc	56.56228657558394
32161104_EXO_S15	181004-190521	readsPerc	67.12772990298289
32161237_EXO_S16	181004-190521	readsPerc	63.12538872979751
32170016_EXO_S20	181004-190521	readsPerc	75.18391247916493
32161013_EXO_S11	181004-190521	readsPerc	67.20761659606893
32170385_EXO_S26	181004-190521	readsPerc	72.0669462736146
32150161_EXO_S32	181004-190521	readsPerc	64.81243864145985
32160612_EXO_S4	181004-190521	readsPerc	68.1014528100017
32161253_EXO_S18	181004-190521	readsPerc	69.75836638873409
32170268_EXO_S22	181004-190521	readsPerc	68.0490291019811
32170269_EXO_S23	181004-190521	readsPerc	61.45987656282867
32150116_EXO_S31	181004-190521	readsPerc	59.94643191950326
32161004_EXO_S10	181004-190521	readsPerc	67.35024596243197
32161392_EXO_S19	181004-190521	readsPerc	64.84894067348519
32160765_EXO_S8	181004-190521	readsPerc	64.65902814572743
32170450_EXO_S29	181004-190521	readsPerc	64.49106739042715
32160373_EXO_S3	181004-190521	readsPerc	68.90864303981633
32160284_EXO_S1	181004-190521	readsPerc	60.63623542280824
32170409_EXO_S27	181004-190521	readsPerc	62.993852518670494
32170083_EXO_S21	181004-190521	readsPerc	66.53926749214351
32161065_EXO_S14	181004-190521	readsPerc	71.88730828822843
32150978_EXO_S34	181004-190521	readsPerc	69.91611202750929
32161046_EXO_S13	181004-190521	readsPerc	70.74786444768809
32160670_EXO_S7	181004-190521	readsPerc	58.184144634656334
32170652_EXO_S30	181004-190521	readsPerc	66.79017421463529
32150704_EXO_S33	181004-190521	readsPerc	64.25913736007905
32170378_EXO_S26	181023-190319	readsPerc	66.20371251603669
32161454_EXO_S20	181023-190319	readsPerc	70.4560688789187
32160526_EXO_S15	181023-190319	readsPerc	60.616966993882635
32152086_EXO_S7	181023-190319	readsPerc	67.07781040707837
32151130_EXO_S2	181023-190319	readsPerc	71.62501383449991
32151185_EXO_S4	181023-190319	readsPerc	65.14717765709379
32170440_EXO_S27	181023-190319	readsPerc	69.74755993948091
32152175_EXO_S9	181023-190319	readsPerc	71.96507199005916
32152337_EXO_S10	181023-190319	readsPerc	64.88270569089569
32151033_EXO_S1	181023-190319	readsPerc	79.92840324965928
32170273_EXO_S23	181023-190319	readsPerc	68.5187578486064
32152088_EXO_S8	181023-190319	readsPerc	77.50288939892745
32151825_EXO_S6	181023-190319	readsPerc	69.8011805541036
32151151_EXO_S3	181023-190319	readsPerc	76.1355497732275
32170329_EXO_S24	181023-190319	readsPerc	74.48376336291095
32170337_EXO_S25	181023-190319	readsPerc	64.79708641426765
32160079_EXO_S13	181023-190319	readsPerc	64.06399575038549
32152347_EXO_S11	181023-190319	readsPerc	69.55626945648685
32160791_EXO_S16	181023-190319	readsPerc	74.62012700446252
32161000_EXO_S17	181023-190319	readsPerc	68.6408324667496
32160288_EXO_S14	181023-190319	readsPerc	70.84275686550635
32170032_EXO_S21	181023-190319	readsPerc	69.52864972129437
32170447_EXO_S28	181023-190319	readsPerc	70.39730035198684
32160018_EXO_S12	181023-190319	readsPerc	57.85221877609492
32170073_EXO_S22	181023-190319	readsPerc	71.526649681093
32161249_EXO_S19	181023-190319	readsPerc	63.96502178197101
32151764_EXO_S5	181023-190319	readsPerc	68.97441699174307
32161037_EXO_S18	181023-190319	readsPerc	68.67636877284227
32151640_EXO_S32	180322-190603	readsAdapterNotFoundPerc	3.05507632092531
32151675_EXO_S28	180322-190603	readsAdapterNotFoundPerc	3.72126960963152
32151681_EXO_S21	180322-190603	readsAdapterNotFoundPerc	2.95839385079166
32151161_EXO_S19	180322-190603	readsAdapterNotFoundPerc	3.84316602674304
32151113_EXO_S24	180322-190603	readsAdapterNotFoundPerc	2.89859299064777
32140243_EXO_S2	180322-190603	readsAdapterNotFoundPerc	2.99221938033541
32150300_EXO_S4	180322-190603	readsAdapterNotFoundPerc	3.7120404182234
32151662_EXO_S25	180322-190603	readsAdapterNotFoundPerc	3.20170907475718
32150296_EXO_S34	180322-190603	readsAdapterNotFoundPerc	3.12730566221754
32151649_EXO_S7	180322-190603	readsAdapterNotFoundPerc	3.09601388390753
32151808_EXO_S16	180322-190603	readsAdapterNotFoundPerc	2.52087468731681
32152166_EXO_S8	180322-190603	readsAdapterNotFoundPerc	3.56605258466636
32150759_EXO_S26	180322-190603	readsAdapterNotFoundPerc	3.22503943854677
32151206_EXO_S12	180322-190603	readsAdapterNotFoundPerc	3.43765592583303
32151872_EXO_S27	180322-190603	readsAdapterNotFoundPerc	3.73764223398168
32152211_EXO_S35	180322-190603	readsAdapterNotFoundPerc	3.24256863495192
32151109_EXO_S17	180322-190603	readsAdapterNotFoundPerc	3.02481454489245
32152477_EXO_S29	180322-190603	readsAdapterNotFoundPerc	3.33264364361961
32151201_EXO_S23	180322-190603	readsAdapterNotFoundPerc	2.83641519653514
32141753_EXO_S10	180322-190603	readsAdapterNotFoundPerc	3.783664118035
32150101_EXO_S3	180322-190603	readsAdapterNotFoundPerc	4.18210485315954
32151828_EXO_S15	180322-190603	readsAdapterNotFoundPerc	3.48935346780927
32152118_EXO_S1	180322-190603	readsAdapterNotFoundPerc	4.4833504515812
32151204_EXO_S9	180322-190603	readsAdapterNotFoundPerc	3.17724904301699
32151684_EXO_S13	180322-190603	readsAdapterNotFoundPerc	2.96403596271167
32150228_EXO_S18	180322-190603	readsAdapterNotFoundPerc	3.04674479051241
32152206_EXO_S33	180322-190603	readsAdapterNotFoundPerc	4.65999759175458
32151642_EXO_S5	180322-190603	readsAdapterNotFoundPerc	4.02840224495821
32151157_EXO_S31	180322-190603	readsAdapterNotFoundPerc	3.74966419957903
32151086_EXO_S6	180322-190603	readsAdapterNotFoundPerc	3.27772471181494
32150688_EXO_S20	180322-190603	readsAdapterNotFoundPerc	3.32022711498742
32151947_EXO_S11	180322-190603	readsAdapterNotFoundPerc	2.83694147515942
32151680_EXO_S22	180322-190603	readsAdapterNotFoundPerc	2.94976603310412
32150301_EXO_S14	180322-190603	readsAdapterNotFoundPerc	3.55386269019596
32150744_EXO_S30	180322-190603	readsAdapterNotFoundPerc	4.60418985026448
32151640_EXO_S32	180322-190603	shortReads	21.9769722546424
32151675_EXO_S28	180322-190603	shortReads	19.1290175019345
32151681_EXO_S21	180322-190603	shortReads	16.5605301497324
32151161_EXO_S19	180322-190603	shortReads	15.5906281248446
32151113_EXO_S24	180322-190603	shortReads	38.4507082490666
32140243_EXO_S2	180322-190603	shortReads	17.4450856020884
32150300_EXO_S4	180322-190603	shortReads	17.1881410369497
32151662_EXO_S25	180322-190603	shortReads	28.2745385535269
32150296_EXO_S34	180322-190603	shortReads	23.0567502911936
32151649_EXO_S7	180322-190603	shortReads	15.3221432584526
32151808_EXO_S16	180322-190603	shortReads	15.1376012954897
32152166_EXO_S8	180322-190603	shortReads	11.4314560134962
32150759_EXO_S26	180322-190603	shortReads	21.371679669137
32151206_EXO_S12	180322-190603	shortReads	15.0912887685374
