sample	batch		value
32170365_EXO_S26	180919-190527	shortReadsPerc	18.350771553380017
32170367_EXO_S27	180919-190527	shortReadsPerc	17.38085528109068
32152451_EXO_S5	180919-190527	shortReadsPerc	18.525070672247846
32161246_EXO_S18	180919-190527	shortReadsPerc	16.273820020715377
32170368_EXO_S28	180919-190527	shortReadsPerc	17.93788479657354
32170400_EXO_S30	180919-190527	shortReadsPerc	17.22734345962297
32160472_EXO_S14	180919-190527	shortReadsPerc	18.778075036054027
32160241_EXO_S9	180919-190527	shortReadsPerc	17.456332407015303
32152359_EXO_S1	180919-190527	shortReadsPerc	16.944627514042324
32161415_EXO_S22	180919-190527	shortReadsPerc	17.39684848501429
32161252_EXO_S19	180919-190527	shortReadsPerc	14.559609217439142
32170381_EXO_S29	180919-190527	shortReadsPerc	18.111424013314245
32152366_EXO_S2	180919-190527	shortReadsPerc	17.436036687358225
32150043_EXO_S34	180919-190527	shortReadsPerc	19.827382359895957
32170453_EXO_S31	180919-190527	shortReadsPerc	15.523276409223852
32170276_EXO_S24	180919-190527	shortReadsPerc	14.848786568905755
32152381_EXO_S3	180919-190527	shortReadsPerc	17.351152799758047
32161367_EXO_S21	180919-190527	shortReadsPerc	15.957943157666202
32160457_EXO_S12	180919-190527	shortReadsPerc	18.04928757559572
32152446_EXO_S4	180919-190527	shortReadsPerc	17.194407036958744
32160782_EXO_S17	180919-190527	shortReadsPerc	16.947948532733975
32160083_EXO_S7	180919-190527	shortReadsPerc	18.062972847979722
32170613_EXO_S32	180919-190527	shortReadsPerc	16.389750820377092
32160323_EXO_S11	180919-190527	shortReadsPerc	18.60456070587938
32170644_EXO_S33	180919-190527	shortReadsPerc	17.41772922128519
32160600_EXO_S15	180919-190527	shortReadsPerc	15.63601904492409
32161358_EXO_S20	180919-190527	shortReadsPerc	15.950972600361101
32160028_EXO_S6	180919-190527	shortReadsPerc	18.585036700272678
32160766_EXO_S16	180919-190527	shortReadsPerc	16.195247640398936
32170346_EXO_S25	180919-190527	shortReadsPerc	16.59024340051099
32170068_EXO_S23	180919-190527	shortReadsPerc	17.05258861584252
32160009_EXO_S30	181003-190524	shortReadsPerc	15.94181585454023
32152260_EXO_S26	181003-190524	shortReadsPerc	14.88617494686227
32152408_EXO_S29	181003-190524	shortReadsPerc	13.994446843956315
32160078_EXO_S32	181003-190524	shortReadsPerc	16.322491095043212
32150179_EXO_S2	181003-190524	shortReadsPerc	15.492226800400077
32160080_EXO_S33	181003-190524	shortReadsPerc	14.751466599772325
32150313_EXO_S5	181003-190524	shortReadsPerc	16.39672233485209
32151181_EXO_S16	181003-190524	shortReadsPerc	15.875885530805746
32151178_EXO_S15	181003-190524	shortReadsPerc	14.03793073145025
32152087_EXO_S24	181003-190524	shortReadsPerc	16.92433455325116
32151988_EXO_S22	181003-190524	shortReadsPerc	14.962196828765634
32160019_EXO_S31	181003-190524	shortReadsPerc	15.002433708499264
32152030_EXO_S23	181003-190524	shortReadsPerc	13.685872728785002
32151021_EXO_S13	181003-190524	shortReadsPerc	16.41551039925132
32150156_EXO_S1	181003-190524	shortReadsPerc	17.074704496647165
32151970_EXO_S21	181003-190524	shortReadsPerc	16.060732269560056
32151029_EXO_S14	181003-190524	shortReadsPerc	13.416174570758574
32150829_EXO_S9	181003-190524	shortReadsPerc	15.945337322122372
32150792_EXO_S8	181003-190524	shortReadsPerc	13.64345170937516
32151754_EXO_S20	181003-190524	shortReadsPerc	14.111091030550046
32150309_EXO_S4	181003-190524	shortReadsPerc	15.478741857187764
32160185_EXO_S34	181003-190524	shortReadsPerc	16.204094635785488
32151018_EXO_S12	181003-190524	shortReadsPerc	15.772808629420748
32151480_EXO_S17	181003-190524	shortReadsPerc	14.049563472658718
32150697_EXO_S7	181003-190524	shortReadsPerc	13.963854237548768
32152351_EXO_S28	181003-190524	shortReadsPerc	14.77269141330176
32150318_EXO_S6	181003-190524	shortReadsPerc	15.135586800368742
32152200_EXO_S25	181003-190524	shortReadsPerc	15.705715503339885
32150274_EXO_S3	181003-190524	shortReadsPerc	16.62713760684172
32151489_EXO_S18	181003-190524	shortReadsPerc	15.92378836921432
32150882_EXO_S11	181003-190524	shortReadsPerc	15.766528704673915
32151625_EXO_S19	181003-190524	shortReadsPerc	14.443976505380062
32150835_EXO_S10	181003-190524	shortReadsPerc	16.15801903280866
32152348_EXO_S27	181003-190524	shortReadsPerc	15.205982656386817
32160965_EXO_S9	181004-190521	shortReadsPerc	16.307767683601075
32160622_EXO_S5	181004-190521	shortReadsPerc	14.41545273928813
32161245_EXO_S17	181004-190521	shortReadsPerc	14.107577054590559
32170434_EXO_S28	181004-190521	shortReadsPerc	16.30400869031015
32160340_EXO_S2	181004-190521	shortReadsPerc	15.196811237468292
32161045_EXO_S12	181004-190521	shortReadsPerc	16.477349318754325
32170383_EXO_S25	181004-190521	shortReadsPerc	15.993551188206128
32170272_EXO_S24	181004-190521	shortReadsPerc	14.682780145120052
32160628_EXO_S6	181004-190521	shortReadsPerc	15.950787233860005
32161104_EXO_S15	181004-190521	shortReadsPerc	16.18266234500129
32161237_EXO_S16	181004-190521	shortReadsPerc	15.470396358471149
32170016_EXO_S20	181004-190521	shortReadsPerc	12.935248296549593
